Feature,Importance
Delivery_person_Ratings,0.20183298164639862
Distance_From_Res_to_customer,0.13272623291888494
Road_traffic_density_Low,0.1289527589595464
Delivery_person_Age,0.09825353033987706
Vehicle_condition_0,0.08440078323608156
Weatherconditions_sunny,0.07681454265878852
Weatherconditions_stormy,0.02561208772819085
Weatherconditions_windy,0.024549095458359104
Restaurant_number,0.021495527307070418
Weatherconditions_fog,0.02066263255347464
Weatherconditions_cloudy,0.017890314636857488
multiple_deliveries_2.0,0.014465369119604861
Day_of_order,0.014191037319503046
Festival,0.012969959226990534
Road_traffic_density_Medium,0.012903377638019907
Road_traffic_density_High,0.012442380086389059
Month_of_order,0.009801178104057014
preparing_order,0.008954141425546397
Delivery_person_number,0.005566133042935274
multiple_deliveries_3.0,0.00544217817160151
multiple_deliveries_0.0,0.004596353273009718
Vehicle_condition_3,0.0038424797746965025
City_Metropolitan,0.003538573509083368
multiple_deliveries_1.0,0.003518881186400412
Type_of_order_Meal,0.003355813618198263
Day_Friday,0.003266727329689297
col_2,0.0032543367568640047
col_0,0.0031270790732480813
Type_of_order_Snack,0.003119306733308731
Type_of_order_Buffet,0.003101439519987444
Type_of_order_Drinks,0.0030205454487672273
col_3,0.002830644592776289
col_1,0.002755954407821962
Day_Wednesday,0.0026421089400504028
Day_Thursday,0.0025964584176311127
Day_Monday,0.002596237686917403
Day_Sunday,0.002492117265619618
City_Urban,0.0023620841174799958
Day_Tuesday,0.0023211891662490523
Day_Saturday,0.0020390247759882133
Type_of_vehicle_scooter,0.001874938237969912
City_Semi-Urban,0.0017450927322167178
Type_of_vehicle_motorcycle,0.0017393507699936031
Type_of_vehicle_electric_scooter,0.0013502918138160976
Vehicle_condition_2,0.0013340790527280686
Vehicle_condition_1,0.0012985692841890465
Type_of_vehicle_bicycle,0.0003540809371223284
